predicted_vote_party,expected_total,expected_share
Socialdemokratiet (A),1101808.52854628,0.26460720580658703
Other - Left,546191.2731210348,0.1311717443385435
Venstre (V),459211.2213324263,0.11028286222482224
Other - Right,448911.8620677346,0.10780939736589254
Liberal Alliance (I),402725.5854908761,0.09671743240557648
Socialistisk Folkeparti (F),397483.018624606,0.09545839244191943
Moderaterne (M),353029.86347424105,0.08478264899932302
Danmarksdemokraterne (Æ),247911.54831752676,0.05953773308873969
Did not vote,182078.62103851236,0.043727484314978686
Other,24588.477986762202,0.00590509901361744
