stage,party,status,n_total,n_event,fallback_prob
1,Did not vote,fit_ok_full,4282,691,0.161373190098085
2,Socialdemokratiet (A),fit_ok_full,3591,985,0.27429685324422165
3,Venstre (V),fit_ok_full,2606,491,0.1884113584036838
4,Other - Right,fit_ok_full,2115,420,0.19858156028368795
5,Other - Left,fit_ok_full,1695,419,0.2471976401179941
6,Moderaterne (M),fit_ok_full,1276,343,0.26880877742946707
7,Danmarksdemokraterne (Æ),fit_ok_full,933,336,0.36012861736334406
8,Socialistisk Folkeparti (F),fit_ok_full,597,313,0.52428810720268
9,Liberal Alliance (I),fallback_sparse,284,276,0.971830985915493
