party,point_estimate
A: Socialdemokratiet,0.25734740015071594
V: Venstre,0.12622456669178664
F: SF - Socialistisk Folkeparti,0.1058779201205731
M: Moderaterne,0.09645817633760487
I: Liberal Alliance,0.060663149962321236
Æ: Danmarksdemokraterne,0.057648831951771035
Ø: Enhedslisten,0.057648831951771035
C: Det Konservative Folkeparti,0.05689525244913386
B: Det Radikale Venstre,0.04785229841748328
Å: Alternativet,0.036171816126601426
Did not vote,0.0346646571213267
D: Nye Borgerlige,0.02185380557648845
O: Dansk Folkeparti,0.015825169555388242
Voted blank,0.012810851544838079
Q: Frie Grønne,0.0052750565184627824
K: Kristendemokraterne,0.00452147701582518
Another party,0.0011303692539562954
Independent candidate,0.0011303692539562954
