party,expected_total_raked,share_raked
A: Socialdemokratiet,961227.7948881653,0.23084573622294396
Did not vote,658726.8724,0.15819797413027084
F: SF - Socialistisk Folkeparti,292176.2941647463,0.0701682286883928
I: Liberal Alliance,277594.3920077194,0.06666628049580911
M: Moderaterne,325762.576593263,0.07823421485258265
Other,5341.478173699793,0.0012827942222269756
Other - Left,463725.26309779845,0.11136694167010054
Other - Right,431244.59281969443,0.10356647617873803
V: Venstre,465834.7308442322,0.1118735454507587
Æ: Danmarksdemokraterne,282306.0050106812,0.0677978080881764
